Journal Name,Journal Type,Journal Abbreviation,ISSN,eISSN,Journal Website,Publisher Name,Imprint Name,Included in CAUL OA agreement?,Included in CAUL discount scheme?,Notes,Last Updated
Anglia,,ANG,,1865-8938,,De Gruyter,,Yes,,"Only La Trobe University, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Angermion ,,ANGER,,1868-9426,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Analysis,,ANLY,,2196-6753,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Altorientalische Forschungen,,AOFO,,2196-6761,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Apeiron,,APEIRON,,2156-7093,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Melbourne, University of Sydney, Victoria University of Wellington",2024-01-24
Archiv für Papyrusforschung und verwandte Gebiete,,APF,,1867-1551,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Asia-Pacific Journal of Risk and Insurance,,APJRI,,2153-3792,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Sydney, Victoria University of Wellington",2024-01-24
Applied Linguistics Review,,APPLIREV,,1868-6311,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Melbourne, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Arbitrium,,ARB,,1865-8849,,De Gruyter,,Yes,,"Only Monash University, University of Melbourne, University of Sydney, Victoria University of Wellington",2024-01-24
arcadia,,ARCADIA,,1613-0642,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Archiv für Religionsgeschichte,,AREGE,,1868-8888,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Aschkenas,,ASCH,,1865-9438,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Analyse & Kritik,,AUK,,2365-9858,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
at - Automatisierungstechnik,,AUTO,,2196-677X,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
The B.E. Journal of Economic Analysis & Policy,,BEJEAP,,1935-1682,,De Gruyter,,Yes,,"Only La Trobe University, RMIT University, University of Sydney, Victoria University of Wellington",2024-01-24
The B.E. Journal of Macroeconomics,,BEJM,,1935-1690,,De Gruyter,,Yes,,"Only La Trobe University, RMIT University, University of Sydney, Victoria University of Wellington",2024-01-24
The B.E. Journal of Theoretical Economics,,BEJTE,,1935-1704,,De Gruyter,,Yes,,"Only La Trobe University, RMIT University, University of Sydney, Victoria University of Wellington",2024-01-24
Basic Income Studies,,BIS,,1932-0183,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Newcastle, University of Sydney, Victoria University of Wellington",2024-01-24
Biomedical Engineering / Biomedizinische Technik ,,BMT,,1862-278X,,De Gruyter,,Yes,,"Only La Trobe University, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Botanica Marina,,BOT,,1437-4323,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Melbourne, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Berliner Theologische Zeitschrift ,,BTHZ,,2699-3414,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Byzantinische Zeitschrift,,BZ,,1868-9027,,De Gruyter,,Yes,,"Only University of Melbourne, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Chinese as a Second Language Research,,CASLAR,,2193-2271,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Clinical Chemistry and Laboratory Medicine (CCLM),,CCLM,,1437-4331,,De Gruyter,,Yes,,"Only La Trobe University, RMIT University, University of Melbourne, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Language Learning in Higher Education,,CERCLES,,2191-6128,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Corpus Linguistics and Linguistic Theory,,CLLT,,1613-7035,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Computational Methods in Applied Mathematics,,CMAM,,1609-9389,,De Gruyter,,Yes,,"Only La Trobe University, University of Newcastle, University of Sydney, Victoria University of Wellington",2024-01-24
Cognitive Semiotics,,COGSEM,,2235-2066,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Communications,,COMMUN,,1613-4087,,De Gruyter,,Yes,,"Only La Trobe University, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Corrosion Reviews,,CORRREV,,2191-0316,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Chemical Product and Process Modeling,,CPPM,,1934-2659,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Newcastle, University of Sydney, Victoria University of Wellington",2024-01-24
Journal für die reine und angewandte Mathematik,,CRELLE,,1435-5345,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Melbourne, University of Newcastle, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Deutsches Dante-Jahrbuch,,DANTE,,2194-4059,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Dialectologia et Geolinguistica,,DIALECT,,1867-0903,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Discrete Mathematics and Applications,,DMA,,1569-3929,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Drug Metabolism and Personalized Therapy,,DMDI,,2363-8915,,De Gruyter,,Yes,,"Only La Trobe University, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht,,DWIR,,1612-7056,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Diagnosis,,DX,,2194-802X,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Deutsche Zeitschrift für Philosophie,,DZPH,,2192-1482,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
European Company and Financial Law Review,,ECFR,,1613-2556,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
editio,,EDITIO,,1865-9446,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Educational Linguistics,,EDULING,,2748-9329,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
European Journal of Scandinavian Studies,,EJSS,,2191-9402,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Elenchos,,ELEN,,2037-7177,,De Gruyter,,Yes,,"Only La Trobe University, University of Newcastle, University of Sydney, Victoria University of Wellington",2024-01-24
Epidemiologic Methods,,EM,,2161-962X,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
European Property Law Journal ,,EPLJ,,2190-8362,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Sydney, Victoria University of Wellington",2024-01-24
Stochastics and Quality Control ,,EQC,,2367-2404,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
European Review of Contract Law,,ERCL,,1614-9939,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Sydney, Victoria University of Wellington",2024-01-24
Entrepreneurship Research Journal,,ERJ,,2157-5665,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Etruscan and Italic Studies,,ETST,,2566-9109,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
European Journal of Applied Linguistics,,EUJAL,,2192-953X,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
The Economists’ Voice,,EV,,1553-3832,,De Gruyter,,Yes,,"Only La Trobe University, University of Newcastle, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Fabula,,FABULA,,1613-0464,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Forum for Health Economics & Policy,,FHEP,,1558-9544,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Sydney, Victoria University of Wellington",2024-01-24
Forschungsjournal Soziale Bewegungen,,FJSB,,2365-9890,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Frontiers of Narrative Studies,,FNS,,2509-4890,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Folia Linguistica,,FOLIA,,1614-7308,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
The Forum,,FOR,,1540-8884,,De Gruyter,,Yes,,"Only La Trobe University, University of Newcastle, University of Sydney, Victoria University of Wellington",2024-01-24
Forum Mathematicum ,,FORUM,,1435-5337,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Frequenz,,FREQ,,2191-6349,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Sydney, Victoria University of Wellington",2024-01-24
Feministische Studien,,FS,,2365-9920,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Yearbook of the German Cognitive Linguistics Association,,GCLA,,2197-2796,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
German Economic Review,,GER,,1468-0475,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Global Jurist,,GJ,,1934-2640,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Newcastle, University of Sydney, Victoria University of Wellington",2024-01-24
Global Chinese,,GLOCHI,,2199-4382,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Glottotheory ,,GLOT,,2196-6907,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Georgian Mathematical Journal,,GMJ,,1572-9176,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Helia,,HELIA,,2197-0483,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Holzforschung,,HF,,1437-434X,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Hormone Molecular Biology and Clinical Investigation,,HMBCI,,1868-1891,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Biological Chemistry,,HSZ,,1437-4315,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Melbourne, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
HTM Journal of Heat Treatment and Materials,,HTM,,2194-1831,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Human Affairs,,HUMAFF,,1337-401X,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
HUMOR,,HUMOR,,1613-3722,,De Gruyter,,Yes,,"Only La Trobe University, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Historische Zeitschrift,,HZHZ,,2196-680X,,De Gruyter,,Yes,,"Only University of Melbourne, University of Sydney, Victoria University of Wellington",2024-01-24
Internationales Archiv für Sozialgeschichte der deutschen Literatur,,IASL,,1865-9128,,De Gruyter,,Yes,,"Only Monash University, University of Melbourne, University of Sydney, Victoria University of Wellington",2024-01-24
Iberoromania,,IBERO,,1865-9039,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
ICL Journal,,ICL,,1995-5855,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Indogermanische Forschungen,,IGF,,1613-0405,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
International Journal of Adolescent Medicine and Health ,,IJAMH,,2191-0278,,De Gruyter,,Yes,,"Only La Trobe University, University of Newcastle, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
The International Journal of Biostatistics,,IJB,,1557-4679,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Newcastle, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
International Journal of Chemical Reactor Engineering,,IJCRE,,1542-6580,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Melbourne, University of Newcastle, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
International Journal of Emerging Electric Power Systems,,IJEEPS,,1553-779X,,De Gruyter,,Yes,,"Only La Trobe University, University of Newcastle, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
International Journal of Food Engineering,,IJFE,,1556-3758,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Newcastle, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
International Journal of Legal Discourse,,IJLD,,2364-883X,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
International Journal of Materials Research,,IJMR,,2195-8556,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Sydney, Victoria University of Wellington",2024-01-24
International Journal of Nursing Education Scholarship,,IJNES,,1548-923X,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Melbourne, University of Newcastle, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
International Journal of Practical Theology ,,IJPT,,1612-9768,,De Gruyter,,Yes,,"Only La Trobe University, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
International Journal of the Sociology of Language,,IJSL,,1613-3668,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Melbourne, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Informationen Deutsch als Fremdsprache,,INFODAF,,2511-0853,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Intercultural Pragmatics,,IP,,1613-365X,,De Gruyter,,Yes,,"Only La Trobe University, Monash University, University of Melbourne, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
International Public History,,IPH,,2567-1111,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
International Polymer Processing,,IPP,,2195-8602,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
International Review of Applied Linguistics in Language Teaching,,IRAL,,1613-4141,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
Der Islam,,ISLAM,,1613-0928,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
it - Information Technology,,ITIT,,2196-7032,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Information – Wissenschaft & Praxis,,IWP,,1619-4292,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Journal of Applied Analysis,,JAA,,1869-6082,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Journal of Agricultural & Food Industrial Organization,,JAFIO,,1542-0485,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Newcastle, University of Sydney, Victoria University of Wellington",2024-01-24
Journal of Applied Geodesy,,JAG,,1862-9024,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Journal of Ancient History,,JAH,,2324-8114,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Jahrbuch der Juristischen Zeitgeschichte,,JAJUZ,,1869-6902,,De Gruyter,,Yes,,"Only University of Sydney, Victoria University of Wellington",2024-01-24
Journal of African Languages and Linguistics,,JALL,,1613-3811,,De Gruyter,,Yes,,"Only La Trobe University, University of Melbourne, University of Sydney, Victoria University of Wellington",2024-01-24
Journal of Ancient Near Eastern History,,JANEH,,2328-9562,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
"Journal of Biosecurity, Biosafety and Biodefense Law",,JBBBL,,2154-3186,,De Gruyter,,Yes,,"Only La Trobe University, University of Sydney, Victoria University of Wellington",2024-01-24
Journal of Basic and Clinical Physiology and Pharmacology,,JBCPP,,2191-0286,,De Gruyter,,Yes,,"Only La Trobe University, University of Queensland, University of Sydney, Victoria University of Wellington",2024-01-24
